ID module;Nom module;ID UE;Nom UE;Abréviation UE;Semestre;Poids CC Automne;Poids Exa Automne;Poids CC Printemps;Poids Exa Printemps;Poids UE;Remarques
E1.01;Mathématique 1 / Mathematik 1;E1.011;Analyse 1 / Analysis 1;An1;S1;1;1;;;2;
E1.01;Mathématique 1 / Mathematik 1;E1.012;Algèbre linéaire 1 / Lineare Algebra 1;ALin1;S1;1;2;;;1;
E1.02;Informatique 1 / Informatik 1;E1.021;Informatique 1;Inf;S1;1;1;;;1;
E1.03;Projet 1 / Projekt 1;E1.031;Projet 1 / Projekt 1;Pr1;S1;1;1;;;1;
E1.04;Problématique globale / Globale Problematik;E1.041;Séminaires / Seminare;SEM;S1;acquis/na;acquis/na;;;acquis/na;
E1.04;Problématique globale / Globale Problematik;E1.042;Institutions et organisations / Institutionen und Organisationen;IeO;S1;acquis/na;acquis/na;;;acquis/na;
E1.04;Problématique globale / Globale Problematik;E1.043;Enjeux énergétiques et environnementaux / Energie- und umweltpolitische Herausforderungen ;EEE;S1;acquis/na;acquis/na;;;acquis/na;
E1.05;Outils et méthodes interdisciplinaires 1 / Interdisziplinäre Methoden & Tools 1;E1.051;Economie et gestion de projets / Wirtschaft und Projektmanagement;EGP;S1;1;1;;;1;
E1.05;Outils et méthodes interdisciplinaires 1 / Interdisziplinäre Methoden & Tools 1;E1.052;Outils de communiction et langues / Kommunikationsmittel und Sprachen;OdC;S1;1;1;;;1;
E1.06;Systèmes énergétiques 1 / Energiesysteme 1;E1.061;Systèmes électriques DC / Elektrische Système Gleichstrom;SyEl1;S1;1;1;;;1;
E1.07;Gestion environnementale 1 / Umweltmanagement 1;E1.071;Gestion environnementale 1 / Umweltmanagement 1;GEn1;S1;1;1;;;1;
E1.08;Chimie environnementale / Umweltchemie;E1.081;Chimie environnementale / Umweltchemie;ChEn;S1;1;1;;;1;
EC1.01;Allemand 1 / Deutsch 1;EC1.011;Allemand 1 / Deutsch 1;LaD1;S1;1;1;;;1;
EC1.02;Français 1 / Französisch 1;EC1.021;Français 1 / Französisch 1;LaF1;S1;1;1;;;1;
E2.01;Sciences de l'ingénierie 2 / Ingenieurwissenschaften 2;E2.011;Analyse 2 / Analysis 2;An2;S2;;;1;2;3;
E2.01;Sciences de l'ingénierie 2 / Ingenieurwissenschaften 2;E2.012;Mathématique appliquées 1 / Angewandte Mathematik 1;Maa1;S2;;;1;2;3;
E2.01;Sciences de l'ingénierie 2 / Ingenieurwissenschaften 2;E2.013;Physique 1 / Physik 1;Phy1;S2;;;1;1;3;
E2.01;Sciences de l'ingénierie 2 / Ingenieurwissenschaften 2;E2.014;Chimie et énergie / Chemie und Energie;ChE;S2;;;1;1;2;
E2.02;Summer School 1;E2.021;Summer School 1;SS1;S2;;;1;1;1;
E2.03;Outils et méthodes interdisciplinaires 2 / Interdisziplinäre Methoden & Tools 2;E2.031;Culture et éthique de l'ingénieur·e / Kultur und Ethik im Ingenieurberuf;CEI;S2;;;1;-;1;
E2.03;Outils et méthodes interdisciplinaires 2 / Interdisziplinäre Methoden & Tools 2;E2.032;Sciences, techniques et société / Wissenschaft, Technik und Gesellschaft;STS;S2;;;1;1;1;
E2.04;Energy Data et contrôle 1 / Energy Data and Control 1;E2.041;Traitement et gestion de données énergétiques 1 / Verarbeitung und Management von Energiedaten 1;TGD1;S2;;;1;-;2;
E2.04;Energy Data et contrôle 1 / Energy Data and Control 1;E2.042;Mesure, contrôle, régulation 1 / Mess-, Steuer-, Regeltechnik 1;MCR1;S2;;;1;1;1;
E2.05;Systèmes énergétiques 2 / Energiesysteme 2;E2.051;Systèmes électriques AC et fréquence / Elektrische Système Wechselstrom;SyEl2;S2;;;1;1;1;
E2.06;Gestion environnementale 2 / Umweltmanagement 2;E2.061;Gestion environnementale 2 / Umweltmanagement 2;GEn2;S2;;;1;1;1;
E2.07;Economie 1 / Wirtschaft 1;E2.071;Ingénierie financière / Ingenieuroekonomie;Ifin;S2;;;-;1;1;
EC2.01;Allemand 2 / Deutsch 2;EC2.011;Allemand 2 / Deutsch 2;LaD2;S2;;;1;1;1;
EC2.02;Français 2 / Französisch 2;EC2.021;Français 2 / Französisch 2;LaF2;S2;;;1;1;1;
E3.01;Mathématique 3 / Mathematik 3;E3.011;Analyse 3 / Analysis 3;An3;S3;1;2;;;1;
E3.02;Physique 2 / Physik 2;E3.021;Physique 2 / Physik 2;Phy2;S3;1;1;;;1;
E3.03;Projet 2 / Projekt 2;E3.031;Projet 2 / Projekt 2;Pr2;S3;1;0;;;1;
E3.04;Systèmes énergétiques 3 / Energiesysteme 3;E3.041;Matériaux pour les systèmes énergétiques / Werkstoffe für Energiesysteme;Mat;S3;1;1;;;2;
E3.04;Systèmes énergétiques 3 / Energiesysteme 3;E3.042;Mécanique appliquée aux systèmes énergétiques / Mechanik und Energiesysteme;Mec;S3;1;1;;;2;
E3.04;Systèmes énergétiques 3 / Energiesysteme 3;E3.043;Systèmes électromagnétiques 1 / Elektromagnetische Systeme 1;SElm1;S3;1;1;;;3;
E3.05;Energy Data et contrôle 2 / Energy Data & Control 2;E3.051;Traitement et gestion de données énergétiques 2 / Verarbeitung und Management von Energiedaten 2;TGD2;S3;1;1;;;1;
E3.05;Energy Data et contrôle 2 / Energy Data & Control 2;E3.052;Mesure, contrôle, régulation 2 / Mess-, Steuer-, Regeltechnik 2;MCR2;S3;1;1;;;2;
E3.06;Production et stockage / Produktion und Speicherung;E3.061;Energies renouvelables 1  / Erneuerbare Energien 1;ER1;S3;1;1;;;1;
E3.06;Production et stockage / Produktion und Speicherung;E3.062;Système de stockage de l'énergie 1 / Energiespeichersysteme 1;SySE1;S3;1;1;;;1;
E3.07;Distribution et transport 1 / Verteilung und Transport 1;E3.071;Réseaux électriques 1 / Stromnetze 1;ReE1;S3;1;1;;;1;
E3.07;Distribution et transport 1 / Verteilung und Transport 1;E3.072;Réseaux thermiques 1 / Thermische Netze 1;ReT1;S3;1;1;;;1;
